1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.34400,-1.23648,-1.03158,-1.18748,-0.74513,-1.13412,-1.13001,0.91848,-0.73657,-0.30111,1.04699,-1.26399,2.76646,-0.44617,-0.59820,1.02708,-0.68447,-0.42829,-1.21460,-0.19601
-0.26535,2.24819,-0.02221,-1.18748,0.94982,-0.25154,-0.40611,-0.87018,0.33715,-0.30111,-0.76598,-1.26399,-1.19140,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
0.81330,-0.73867,-1.03158,-0.69556,-0.41656,-0.25154,0.31779,-0.87018,-0.73657,-0.30111,0.14050,-1.26399,1.18331,-0.44617,-0.59820,-0.70493,0.53345,2.33487,0.82332,-0.19601
-1.34400,1.75038,-0.02221,-0.20365,1.63425,-0.25154,0.31779,-0.87018,-0.73657,1.94597,1.04699,-0.44108,0.83150,-0.44617,0.68549,-0.70493,-0.68447,2.33487,0.82332,-0.19601
-1.34400,0.25695,0.98717,0.28826,0.56666,-0.25154,-0.40611,0.02415,-0.73657,-0.30111,1.04699,0.38183,1.53512,-0.44617,0.68549,1.02708,-0.68447,2.33487,0.82332,-0.19601
0.81330,1.25257,-0.02221,-0.69556,2.05001,-1.13412,-0.40611,-0.87018,-0.73657,-0.30111,1.04699,0.38183,-0.04802,-0.44617,0.68549,-0.70493,0.53345,2.33487,-1.21460,-0.19601
0.81330,0.25695,-0.02221,-0.20365,-0.15463,0.63105,-1.13001,0.02415,-0.73657,-0.30111,1.04699,-0.44108,1.53512,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-0.26535,1.25257,-0.02221,0.78017,1.30320,-0.25154,-0.40611,-0.87018,-0.73657,-0.30111,-0.76598,1.20474,-0.04802,-0.44617,1.96919,-0.70493,1.75137,-0.42829,-1.21460,-0.19601
0.81330,-0.73867,-0.02221,-1.18748,-0.07523,1.51363,0.31779,-0.87018,1.41086,-0.30111,1.04699,-1.26399,2.23874,-0.44617,-0.59820,-0.70493,0.53345,-0.42829,0.82332,-0.19601
-0.26535,0.75476,-1.03158,0.28826,0.69568,-0.25154,1.04169,0.91848,2.48458,-0.30111,-0.76598,1.20474,-0.66369,-0.44617,-0.59820,1.02708,1.75137,-0.42829,0.82332,-0.19601
-0.26535,-0.73867,-0.02221,0.28826,-0.70047,-0.25154,1.76559,0.02415,0.33715,-0.30111,-1.67246,1.20474,-0.92755,-0.44617,1.96919,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-1.34400,2.24819,-0.02221,1.27209,0.36747,-0.25154,1.76559,0.02415,0.33715,-0.30111,1.04699,-0.44108,-1.01550,-0.44617,1.96919,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-0.26535,-0.73867,-0.02221,-1.18748,-0.60406,-0.25154,-0.40611,-1.76451,0.33715,-0.30111,-1.67246,1.20474,-1.19140,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,-1.21460,-0.19601
-1.34400,0.25695,-1.03158,0.28826,-0.73450,-0.25154,-1.13001,0.91848,-0.73657,-0.30111,1.04699,1.20474,2.15079,-0.44617,-0.59820,1.02708,0.53345,-0.42829,0.82332,-0.19601
-1.34400,-0.48976,-0.02221,0.28826,-0.66219,-0.25154,-0.40611,-0.87018,0.33715,-0.30111,1.04699,1.20474,-0.66369,-0.44617,1.96919,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-1.34400,0.25695,-0.02221,-1.18748,-0.70508,2.39621,-0.40611,0.91848,0.33715,-0.30111,-0.76598,1.20474,-0.31188,-0.44617,-0.59820,-0.70493,0.53345,-0.42829,0.82332,-0.19601
0.81330,0.25695,-1.03158,-1.18748,-0.30030,-1.13412,-1.13001,0.91848,-0.73657,-0.30111,1.04699,-0.44108,1.53512,-0.44617,-0.59820,1.02708,-0.68447,-0.42829,0.82332,-0.19601
-1.34400,0.75476,1.99654,1.27209,1.70159,-1.13412,1.76559,-0.87018,-0.73657,-0.30111,0.14050,1.20474,-0.92755,1.46874,-0.59820,2.75908,-0.68447,-0.42829,0.82332,-0.19601
-0.26535,0.25695,-0.02221,0.78017,3.29907,-0.25154,-1.13001,0.91848,0.33715,-0.30111,-0.76598,0.38183,0.74355,-0.44617,0.68549,-0.70493,1.75137,-0.42829,-1.21460,-0.19601
0.81330,0.25695,-0.02221,-1.18748,0.05627,0.63105,-1.13001,0.02415,-0.73657,-0.30111,-0.76598,1.20474,-0.39983,-0.44617,-0.59820,-0.70493,-0.68447,2.33487,-1.21460,-0.19601
0.81330,-0.98757,-1.03158,0.28826,-0.40309,-0.25154,-0.40611,0.91848,-0.73657,-0.30111,1.04699,1.20474,1.09536,-0.44617,-0.59820,2.75908,-0.68447,-0.42829,-1.21460,-0.19601
-1.34400,-1.23648,-0.02221,-1.18748,-0.22126,0.63105,-0.40611,-0.87018,-0.73657,-0.30111,0.14050,-1.26399,0.74355,-0.44617,1.96919,-0.70493,-0.68447,2.33487,0.82332,-0.19601
-1.34400,-0.90460,-1.03158,0.28826,-0.36517,-0.25154,1.76559,-1.76451,-0.73657,-0.30111,0.14050,-1.26399,1.09536,-0.44617,1.96919,1.02708,0.53345,2.33487,0.82332,5.10167
-0.26535,-0.73867,-1.03158,0.78017,-0.52006,2.39621,1.76559,0.02415,-0.73657,-0.30111,1.04699,-0.44108,0.74355,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
0.81330,-0.90460,-1.03158,-0.20365,-0.42613,-1.13412,-0.40611,-0.87018,2.48458,-0.30111,-1.67246,1.20474,-0.83959,-0.44617,-0.59820,1.02708,-0.68447,-0.42829,0.82332,5.10167
-1.34400,-1.23648,-0.02221,-0.20365,-0.67247,-0.25154,-0.40611,-1.76451,-0.73657,-0.30111,-0.76598,-1.26399,0.03993,1.46874,-0.59820,-0.70493,0.53345,-0.42829,-1.21460,-0.19601
0.81330,-1.23648,1.99654,-1.18748,-1.00848,-0.25154,-1.13001,0.91848,2.48458,-0.30111,1.04699,1.20474,0.30379,-0.44617,-0.59820,-0.70493,0.53345,-0.42829,0.82332,-0.19601
1.89195,-0.73867,3.00591,-1.18748,-1.01451,1.51363,-0.40611,0.02415,0.33715,-0.30111,0.14050,-1.26399,0.56765,-0.44617,1.96919,1.02708,-0.68447,-0.42829,0.82332,-0.19601
-0.26535,-1.15351,-0.02221,-1.18748,-0.30349,-0.25154,-0.40611,0.02415,-0.73657,1.94597,-0.76598,-1.26399,-0.13597,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-1.34400,3.24381,0.98717,1.27209,1.26350,-0.25154,-1.13001,0.02415,-0.73657,-0.30111,1.04699,0.38183,2.41465,-0.44617,-0.59820,1.02708,-0.68447,-0.42829,-1.21460,-0.19601
-0.26535,-0.24086,-0.02221,1.27209,-0.48143,1.51363,1.76559,0.02415,2.48458,-0.30111,0.14050,-1.26399,0.03993,1.46874,-0.59820,-0.70493,-0.68447,-0.42829,-1.21460,-0.19601
-1.34400,0.25695,-0.02221,-0.20365,0.26539,-0.25154,-0.40611,-0.87018,-0.73657,-0.30111,-0.76598,1.20474,-0.75164,3.38365,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-0.26535,-0.24086,-0.02221,0.28826,0.91969,2.39621,-0.40611,-0.87018,-0.73657,-0.30111,-0.76598,1.20474,-0.48778,-0.44617,-0.59820,1.02708,-0.68447,-0.42829,-1.21460,-0.19601
0.81330,-0.73867,-1.03158,1.27209,-0.71146,-1.13412,-1.13001,0.91848,-0.73657,-0.30111,1.04699,0.38183,1.88693,-0.44617,1.96919,-0.70493,0.53345,-0.42829,0.82332,-0.19601
1.89195,-0.73867,-0.02221,-0.20365,-0.63703,-0.25154,1.76559,0.91848,0.33715,-0.30111,-1.67246,-0.44108,-0.22393,1.46874,-0.59820,-0.70493,1.75137,-0.42829,-1.21460,-0.19601
-0.26535,1.99929,-1.03158,-1.18748,0.52271,-0.25154,1.76559,0.91848,-0.73657,-0.30111,-0.76598,-0.44108,-0.92755,-0.44617,-0.59820,1.02708,0.53345,-0.42829,0.82332,-0.19601
0.81330,2.24819,-1.03158,-0.69556,1.00617,-0.25154,-0.40611,-1.76451,-0.73657,-0.30111,0.14050,0.38183,-0.39983,1.46874,0.68549,-0.70493,-0.68447,-0.42829,-1.21460,-0.19601
1.89195,-0.24086,-0.02221,-1.18748,-0.41514,-0.25154,-0.40611,0.91848,-0.73657,4.19306,-0.76598,-1.26399,0.12788,3.38365,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
1.89195,-0.90460,-0.02221,1.76400,-0.72528,-0.25154,-0.40611,-0.87018,-0.73657,-0.30111,-0.76598,1.20474,0.12788,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,-1.21460,-0.19601
-0.26535,-0.98757,-0.02221,-1.18748,-0.99714,-0.25154,-0.40611,0.91848,-0.73657,-0.30111,0.14050,-1.26399,-1.01550,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
0.81330,0.75476,-0.02221,-1.18748,-0.33256,0.63105,-1.13001,0.91848,-0.73657,-0.30111,-0.76598,1.20474,-0.48778,1.46874,-0.59820,-0.70493,1.75137,-0.42829,0.82332,-0.19601
-0.26535,-0.73867,-0.02221,-1.18748,-0.74903,0.63105,-0.40611,0.02415,1.41086,-0.30111,-1.67246,1.20474,-0.83959,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,-1.21460,-0.19601
-0.26535,-0.24086,0.98717,2.25591,1.03949,-0.25154,-0.40611,-0.87018,-0.73657,-0.30111,1.04699,-1.26399,0.74355,-0.44617,-0.59820,-0.70493,0.53345,2.33487,-1.21460,-0.19601
-1.34400,0.75476,-1.03158,0.78017,1.03347,2.39621,0.31779,-1.76451,2.48458,-0.30111,1.04699,1.20474,-1.01550,-0.44617,1.96919,1.02708,-0.68447,-0.42829,0.82332,-0.19601
-1.34400,2.24819,-1.03158,0.78017,1.01787,-0.25154,-1.13001,0.91848,0.33715,-0.30111,1.04699,0.38183,1.97488,3.38365,0.68549,1.02708,0.53345,-0.42829,0.82332,-0.19601
0.81330,-0.82164,-1.03158,0.28826,-0.66574,-0.25154,1.76559,0.91848,0.33715,-0.30111,1.04699,1.20474,-0.04802,-0.44617,-0.59820,1.02708,1.75137,-0.42829,0.82332,-0.19601
0.81330,1.25257,-0.02221,-1.18748,-0.34461,0.63105,-1.13001,0.91848,-0.73657,-0.30111,1.04699,1.20474,0.30379,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-1.34400,-1.23648,-0.02221,0.78017,-0.68027,0.63105,1.04169,-1.76451,0.33715,-0.30111,-0.76598,-0.44108,-1.10345,-0.44617,1.96919,-0.70493,2.96930,-0.42829,-1.21460,-0.19601
0.81330,-0.82164,-1.03158,0.28826,1.40244,-0.25154,-0.40611,-1.76451,-0.73657,-0.30111,1.04699,-0.44108,0.30379,-0.44617,-0.59820,1.02708,0.53345,-0.42829,0.82332,-0.19601
0.81330,-0.73867,-0.02221,-1.18748,-0.42471,2.39621,-0.40611,0.91848,0.33715,4.19306,-0.76598,-1.26399,-0.66369,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
-0.26535,0.25695,0.98717,-0.20365,-0.33256,-1.13412,1.76559,0.91848,-0.73657,-0.30111,-0.76598,-0.44108,-0.57574,1.46874,-0.59820,-0.70493,0.53345,-0.42829,0.82332,-0.19601
-0.26535,0.50586,0.98717,0.78017,0.95478,-0.25154,-1.13001,-1.76451,-0.73657,-0.30111,-0.76598,1.20474,-0.48778,-0.44617,-0.59820,1.02708,1.75137,-0.42829,-1.21460,-0.19601
0.81330,-0.73867,-0.02221,-1.18748,-0.71217,-0.25154,-0.40611,0.02415,-0.73657,-0.30111,-0.76598,1.20474,-0.92755,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,0.82332,-0.19601
0.81330,-0.24086,-0.02221,0.78017,0.03783,-1.13412,-0.40611,-0.87018,-0.73657,-0.30111,-1.67246,-0.44108,-0.39983,-0.44617,-0.59820,-0.70493,-0.68447,-0.42829,-1.21460,-0.19601
-0.26535,1.25257,0.98717,0.28826,-0.37084,-0.25154,-1.13001,0.91848,-0.73657,-0.30111,1.04699,0.38183,1.88693,1.46874,0.68549,1.02708,-0.68447,-0.42829,-1.21460,-0.19601
0.81330,-1.23648,3.00591,0.28826,-0.88195,-1.13412,-0.40611,-1.76451,-0.73657,1.94597,-0.76598,-1.26399,-0.83959,3.38365,-0.59820,-0.70493,0.53345,2.33487,0.82332,-0.19601
